url,source,title,title_length,description,desc_length,rendered_title,html_exists,title_mismatch,robots,canonical,impressions,clicks,ctr_pct,position,issues,priority
https://ailearnings.in/blog/open-source-llms-guide/,blog/open-source-llms-guide.md,"Best Open Source LLMs 2026: Llama 3, Mistral & Gemma Compared",61,"Compare Llama 3.1, Mistral 7B, Gemma, and Phi-3 — then run any of them locally in minutes with Ollama. No cloud API costs.",122,"Best Open Source LLMs 2026: Llama 3, Mistral &amp; Gemma Compared | AI Learning Hub",true,false,,https://ailearnings.in/blog/open-source-llms-guide/,514,1,0.19,8.4,low_ctr,1026
https://ailearnings.in/blog/prompt-engineering-techniques/,blog/prompt-engineering-techniques.md,17 Prompt Engineering Techniques for Production (2026),54,"Zero-shot, few-shot, chain-of-thought, self-consistency, RAG prompting — 17 techniques with Python code and real production examples.",133,17 Prompt Engineering Techniques for Production (2026) | AI Learning Hub,true,false,,https://ailearnings.in/blog/prompt-engineering-techniques/,992,1,0.10,15.0,low_ctr,991
https://ailearnings.in/openai-api-tutorial/,standalone,OpenAI API Tutorial (2026): Zero to Working App in 30 Min,57,Get your API key and make your first Python chat completion. Copy-paste code — from zero to a working AI app in under 30 minutes.,129,OpenAI API Tutorial (2026): Zero to Working App in 30 Min,true,false,"index, follow",https://ailearnings.in/openai-api-tutorial/,355,0,0.00,6.6,low_ctr,710
https://ailearnings.in/blog/rag-evaluation/,blog/rag-evaluation.md,RAG Evaluation with RAGAS (2026): 4 Key Metrics Explained,57,"Your RAG pipeline hallucinates in production? Measure it with RAGAS — faithfulness, answer relevancy, context precision & recall — with Python code.",148,RAG Evaluation with RAGAS (2026): 4 Key Metrics Explained | AI Learning Hub,true,false,,https://ailearnings.in/blog/rag-evaluation/,562,0,0.00,11.8,low_ctr,562
https://ailearnings.in/blog/multi-document-rag/,blog/multi-document-rag.md,Multi-Document RAG (2026): Search 100+ Sources Accurately,57,"Stop getting wrong answers from flat vector stores. Learn routing, namespace filtering, and cross-document fusion for RAG across 100+ documents.",144,Multi-Document RAG (2026): Search 100+ Sources Accurately | AI Learning Hub,true,false,,https://ailearnings.in/blog/multi-document-rag/,175,0,0.00,8.6,low_ctr,350
https://ailearnings.in/blog/openai-api-complete-guide/,blog/openai-api-complete-guide.md,"OpenAI API Complete Guide 2026: Chat, Embeddings & Streaming",60,"Master the OpenAI API — chat completions, function calling, embeddings, streaming, error handling, and cost optimization for production integrations.",149,"OpenAI API Complete Guide 2026: Chat, Embeddings &amp; Streaming | AI Learning Hub",true,false,,https://ailearnings.in/blog/openai-api-complete-guide/,169,1,0.59,8.4,low_ctr,336
https://ailearnings.in/langchain-tutorial/,standalone,LangChain Tutorial: Build LLM Apps in Python (2026),51,"Build RAG pipelines, AI agents, and LLM apps in Python with LangChain. Covers core concepts, a complete RAG example, and LangChain vs alternatives.",147,LangChain Tutorial: Build LLM Apps in Python (2026),true,false,"index, follow",https://ailearnings.in/langchain-tutorial/,110,0,0.00,7.9,low_ctr,220
https://ailearnings.in/blog/fine-tuning-llms-guide/,blog/fine-tuning-llms-guide.md,Fine-Tuning LLMs (2026): Instruction Tuning and LoRA Guide,58,"Full fine-tuning vs LoRA vs QLoRA — dataset prep, Hugging Face training, and avoiding pitfalls. The complete LLM fine-tuning guide for 2026.",140,Fine-Tuning LLMs (2026): Instruction Tuning and LoRA Guide | AI Learning Hub,true,false,,https://ailearnings.in/blog/fine-tuning-llms-guide/,212,4,1.89,38.9,,208
https://ailearnings.in/blog/ai-tools-for-developers/,blog/ai-tools-for-developers.md,Best AI Tools for Developers in 2026,36,Explore the best AI tools developers use to build modern AI applications.,73,Best AI Tools for Developers in 2026 | AI Learning Hub,true,false,,https://ailearnings.in/blog/ai-tools-for-developers/,93,1,1.08,8.4,,184
https://ailearnings.in/prep-plan/,standalone,AI Interview Prep Plan 2026 – 6-Week Fast Track,47,"6-week AI interview prep for developers. Cover LLMs, Prompt Engineering, RAG, and Agentic AI — 4–6 hours per week with free resources.",134,AI Interview Prep Plan 2026 – 6-Week Fast Track,true,false,"index, follow",https://ailearnings.in/prep-plan/,91,2,2.20,8.6,,178
https://ailearnings.in/prompt-eng/,gsc_only,,0,,0,Redirecting…,true,false,noindex,https://ailearnings.in/prompt-engineering/,141,3,2.13,59.7,title_too_short | no_year,138
https://ailearnings.in/projects/ai-resume-analyzer/,projects/ai-resume-analyzer.md,Build an AI Resume Analyzer (2026): Score & Critique Resumes,60,"Build a tool that analyzes resumes against job descriptions, scores fit, identifies gaps, and suggests specific improvements using GPT-4o-mini.",143,Build an AI Resume Analyzer (2026): Score &amp; Critique Resumes | AI Learning Hub,true,false,,https://ailearnings.in/projects/ai-resume-analyzer/,58,1,1.72,6.6,,114
https://ailearnings.in/,gsc_only,,0,,0,AI Learning Roadmap 2026: Become an AI Engineer (Free Guide),true,false,"index, follow",https://ailearnings.in/,58,3,5.17,3.9,title_too_short | no_year,110
https://ailearnings.in/resources/,standalone,Best Free AI Learning Resources 2026 — Curated by Phase,55,"Free books, courses, and references for every phase of the AI roadmap — from ML basics to LLMs, RAG, and Agentic AI.",116,Best Free AI Learning Resources 2026 — Curated by Phase,true,false,"index, follow",https://ailearnings.in/resources/,51,0,0.00,8.5,low_ctr,102
https://ailearnings.in/projects/ai-content-moderator/,projects/ai-content-moderator.md,Build an AI Content Moderator (2026): Filter Harmful Content,60,"Build a content moderation system for toxicity, hate speech, spam, and policy violations — with a review queue and confidence thresholds.",137,Build an AI Content Moderator (2026): Filter Harmful Content | AI Learning Hub,true,false,,https://ailearnings.in/projects/ai-content-moderator/,47,0,0.00,7.9,low_ctr,94
